"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"652468611672633344","","","2015-10-09 13:00:13 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#SixWordStories ""Well, that is where Aramis resides.""","","","",""
"652378023803682816","","","2015-10-09 07:00:16 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#6WordStory
he will not have my life.","","","",""
"652287426791124992","","","2015-10-09 01:00:16 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","'Where are you off to, Jack? #6WordStories","","","",""
"652196824766377984","","","2015-10-08 19:00:14 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#6WordStories Beaks, of birds, bright colours of.","","","",""
"652106241595043840","","","2015-10-08 13:00:18 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#6wordstory
Are we to hope or fear?","","","",""
"652015632276430849","","","2015-10-08 07:00:15 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","I asked, as the door closed. #sixwordstory","","","",""
"651925040527745024","","","2015-10-08 01:00:16 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","Thy manhood blighted with unripe disease? #SixWordStory","","","",""
"651834445822074880","","","2015-10-07 19:00:17 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#sixwordstory Bury him cheap in a whatyoumaycall.","","","",""
"651743850600493056","","","2015-10-07 13:00:17 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","Ech Arefyevna, we are all sinners. #sixwordstories","","","",""
"651653256544944128","","","2015-10-07 07:00:18 +0000","<a href=""https://github.com/hugovk/randomsentencebot"" rel=""nofollow"">Six Worder Bot</a>","#SixWordStory
he had been heard to say.","","","",""
